%   l    n    nu(microHz)   sigma(microHz)
   l    n    nu            sigma
  207    1   1992.3806      0.0445
  207    2   2423.3171      0.1106
  207    3   2800.4048      0.1155
  207    4   3171.5164      0.0774
  208    0   1454.1248      0.0061
  208    1   1995.8879      0.0410
  208    2   2427.7883      0.1195
  208    3   2805.4072      0.0907
  208    4   3177.1731      0.0760
  209    0   1457.5529      0.0062
  209    1   1999.5092      0.0463
  209    2   2432.2388      0.1554
  209    3   2810.4985      0.0729
  209    4   3182.8511      0.0819
  210    0   1460.9867      0.0056
  210    1   2002.9519      0.0433
  210    2   2436.6792      0.0987
  210    3   2815.6208      0.0806
  210    4   3188.4319      0.0843
  211    0   1464.4075      0.0066
  211    1   2006.4919      0.0482
  211    2   2441.1184      0.1060
  211    3   2820.5967      0.0796
  211    4   3194.1692      0.1268
  212    0   1467.8271      0.0067
  212    1   2010.0612      0.0385
  212    2   2445.3484      0.1327
  212    3   2825.5498      0.0952
  212    4   3199.7847      0.1958
  213    0   1471.2222      0.0069
  213    1   2013.5555      0.0476
  213    2   2449.7651      0.1094
  213    3   2830.6455      0.0843
  213    4   3205.3035      0.1042
  214    0   1474.6167      0.0073
  214    1   2017.0613      0.0395
  214    2   2454.2156      0.0798
  214    3   2835.7654      0.0606
  214    4   3210.8198      0.0779
  215    0   1478.0164      0.0057
  215    1   2020.5303      0.0443
  215    2   2458.4602      0.1200
  215    3   2840.5317      0.0965
  215    4   3216.4939      0.1178
  216    0   1481.3859      0.0064
  216    1   2023.9940      0.0468
  216    2   2462.7300      0.1301
  216    3   2845.5220      0.1430
  216    4   3222.0515      0.0884
  217    0   1484.7524      0.0060
  217    1   2027.3719      0.0557
  217    2   2466.9431      0.0997
  217    3   2850.5342      0.1269
  217    4   3227.3479      0.1090
  218    0   1488.1200      0.0070
  218    1   2030.9235      0.0514
  218    2   2471.3286      0.1451
  218    3   2855.5254      0.0691
  218    4   3232.9929      0.2081
  219    0   1491.4811      0.0080
  219    1   2034.3530      0.0767
  219    2   2475.2498      0.1853
  219    3   2860.4995      0.0804
  219    4   3238.4590      0.0941
  220    0   1494.8239      0.0083
  220    1   2037.7792      0.0802
  220    2   2479.5547      0.0700
  220    3   2865.4126      0.0961
  220    4   3243.9424      0.0954
  221    0   1498.1790      0.0084
  221    1   2041.1884      0.0695
  221    2   2483.9861      0.1388
  221    3   2870.3472      0.0877
  221    4   3249.4556      0.1115
  222    0   1501.5153      0.0080
  222    1   2044.6356      0.0879
  222    2   2488.2529      0.1278
  222    3   2875.2891      0.1055
  222    4   3254.7346      0.2437
  223    0   1504.8563      0.0070
  223    1   2048.0410      0.1490
  223    2   2492.4370      0.1955
  223    3   2880.2454      0.1259
  223    4   3260.1995      0.0864
  224    0   1508.1567      0.0073
  224    1   2051.3765      0.0610
  224    2   2496.6309      0.1453
  224    3   2885.0969      0.1086
  224    4   3265.7134      0.1128
  225    0   1511.4701      0.0094
  225    1   2054.8098      0.0521
  225    2   2500.6199      0.1935
  225    3   2890.1890      0.1196
  226    0   1514.7751      0.0086
  226    1   2058.1907      0.0720
  226    3   2894.9731      0.1116
  226    4   3276.4712      0.2171
  227    0   1518.0828      0.0094
  227    1   2061.5574      0.1087
  227    3   2899.8503      0.0824
  227    4   3282.0937      0.1528
  228    0   1521.3636      0.0078
  228    1   2064.9077      0.1158
  228    4   3287.3242      0.2040
  229    0   1524.6458      0.0078
  229    1   2068.2834      0.0729
  229    4   3292.6245      0.1631
  230    0   1527.9359      0.0087
  230    1   2071.4695      0.0640
  231    0   1531.1855      0.0084
  231    1   2074.7671      0.1224
  232    0   1534.4509      0.0100
  232    1   2078.1533      0.1099
  233    0   1537.6921      0.0091
  233    1   2081.4614      0.1590
  234    0   1540.9486      0.0106
  234    1   2084.8113      0.0740
  235    0   1544.1989      0.0098
  235    1   2087.9771      0.0587
  236    0   1547.4382      0.0091
  236    1   2091.3813      0.1687
  237    0   1550.6530      0.0100
  237    1   2094.6238      0.2078
  238    0   1553.8666      0.0092
  239    0   1557.0774      0.0092
  240    0   1560.3126      0.0096
  241    0   1563.5004      0.0107
  242    0   1566.6857      0.0093
  243    0   1569.8967      0.0088
  244    0   1573.0455      0.0114
  245    0   1576.2086      0.0118
  246    0   1579.4116      0.0116
  247    0   1582.5531      0.0101
  248    0   1585.7104      0.0106
  249    0   1588.8585      0.0103
  250    0   1591.9969      0.0120
  251    0   1595.1539      0.0144
  252    0   1598.2799      0.0101
  253    0   1601.3828      0.0119
  254    0   1604.4972      0.0101
  255    0   1607.6217      0.0122
  256    0   1610.7166      0.0123
  257    0   1613.8307      0.0119
  258    0   1616.9102      0.0133
  259    0   1620.0050      0.0144
  260    0   1623.0887      0.0109
  261    0   1626.1440      0.0127
  262    0   1629.2072      0.0146
  263    0   1632.2721      0.0159
  264    0   1635.3484      0.0170
  265    0   1638.3986      0.0158
  266    0   1641.4146      0.0143
  267    0   1644.4584      0.0175
  268    0   1647.5237      0.0165
  269    0   1650.5201      0.0140
  270    0   1653.5787      0.0158
  271    0   1656.5577      0.0151
  272    0   1659.5933      0.0139
  273    0   1662.5695      0.0177
  274    0   1665.5844      0.0169
  275    0   1668.5664      0.0153
  276    0   1671.5668      0.0158
  277    0   1674.5486      0.0175
  278    0   1677.5350      0.0224
  279    0   1680.5310      0.0158
  280    0   1683.4777      0.0170
  281    0   1686.4050      0.0226
  282    0   1689.3835      0.0166
  283    0   1692.3145      0.0193
  284    0   1695.2747      0.0199
  285    0   1698.2172      0.0221
  286    0   1701.1686      0.0159
  287    0   1704.0892      0.0182
  288    0   1707.0024      0.0205
  289    0   1709.9246      0.0178
  290    0   1712.8761      0.0177
  291    0   1715.7406      0.0202
  292    0   1718.6418      0.0283
  293    0   1721.5555      0.0244
  294    0   1724.4766      0.0251
  295    0   1727.3528      0.0262
  296    0   1730.2772      0.0223
  297    0   1733.1306      0.0293
  298    0   1736.0039      0.0323
  299    0   1738.8478      0.0332
