%   l    n    nu(microHz)   sigma(microHz)
   l    n    nu            sigma
   21    7   1919.8483      0.0043
   21    8   2077.7720      0.0056
   21    9   2231.9126      0.0100
   21   10   2381.9512      0.0156
   21   11   2529.2788      0.0095
   21   12   2676.1626      0.0074
   21   13   2822.9412      0.0100
   21   14   2968.8662      0.0124
   21   15   3113.8621      0.0094
   21   16   3258.4187      0.0166
   21   17   3402.8367      0.0211
   21   18   3547.0203      0.0281
   21   19   3691.4150      0.0342
   21   20   3835.4670      0.0488
   21   21   3979.9148      0.0608
   21   22   4124.0459      0.1018
   21   23   4268.0513      0.1450
   21   24   4412.1289      0.1980
   21   25   4556.4404      0.3077
   21   26   4700.2788      0.5062
   21   27   4845.8711      1.0527
   21   28   4988.6353      2.6296
   22    3   1233.1169      0.0079
   22    4   1429.1132      0.0025
   22    5   1611.3558      0.0015
   22    6   1781.5234      0.0028
   22    7   1945.0586      0.0062
   22    8   2104.7698      0.0056
   22    9   2260.0183      0.0088
   22   10   2410.8044      0.0088
   22   11   2559.1570      0.0107
   22   12   2707.0725      0.0088
   22   13   2854.6499      0.0071
   22   14   3001.3728      0.0089
   22   15   3146.9290      0.0107
   22   16   3292.1262      0.0146
   22   17   3437.1694      0.0180
   22   18   3582.1431      0.0271
   22   19   3726.8459      0.0295
   22   20   3871.5945      0.0528
   22   21   4016.2180      0.0737
   22   22   4160.6406      0.0974
   22   23   4305.1318      0.1349
   22   24   4449.8887      0.2347
   22   25   4594.5503      0.3565
   22   26   4739.5063      0.5355
   22   27   4883.5874      1.3170
   22   28   5027.6826      1.2134
   23    2   1039.5103      0.0261
   23    3   1252.2311      0.0039
   23    4   1449.6678      0.0020
   23    5   1632.7966      0.0018
   23    6   1804.2437      0.0036
   23    7   1969.6393      0.0058
   23    8   2131.1267      0.0078
   23    9   2287.4619      0.0107
   23   10   2439.2102      0.0099
   23   11   2588.6763      0.0140
   23   12   2737.5222      0.0097
   23   13   2886.0234      0.0067
   23   14   3033.4077      0.0102
   23   15   3179.6736      0.0107
   23   16   3325.4507      0.0147
   23   17   3471.1567      0.0202
   23   18   3616.6333      0.0271
   23   19   3762.0083      0.0351
   23   20   3907.3264      0.0509
   23   21   4052.3857      0.0876
   23   22   4197.2461      0.1069
   23   23   4342.8867      0.1470
   23   24   4487.4570      0.2619
   23   25   4632.4907      0.4714
   23   26   4777.1685      0.7645
   23   27   4922.7446      0.9258
   24    4   1469.7848      0.0009
   24    5   1653.6888      0.0016
   24    6   1826.3373      0.0038
   24    7   1993.5759      0.0091
   24    8   2156.7949      0.0106
   24    9   2314.3181      0.0114
   24   10   2467.0281      0.0112
   24   11   2617.6226      0.0112
   24   12   2767.6511      0.0088
   24   13   2916.8984      0.0106
   24   14   3064.9658      0.0104
   24   15   3211.8938      0.0114
   24   16   3358.4287      0.0146
   24   17   3504.7466      0.0227
   24   18   3650.9399      0.0328
   24   19   3796.8252      0.0408
   24   20   3942.6450      0.0587
   24   21   4088.3188      0.0911
   24   22   4233.7319      0.1151
   24   23   4379.0278      0.1648
   24   24   4524.3101      0.2827
   24   25   4669.1558      0.4155
   24   26   4814.1016      0.9397
   24   27   4961.3628      0.8595
   25    4   1489.4570      0.0016
   25    5   1674.1100      0.0026
   25    6   1847.8820      0.0033
   25    7   2016.9413      0.0042
   25    8   2181.7896      0.0054
   25    9   2340.5283      0.0111
   25   10   2494.3809      0.0080
   25   11   2646.2002      0.0093
   25   12   2797.3582      0.0119
   25   13   2947.3508      0.0084
   25   14   3096.0918      0.0091
   25   15   3243.8279      0.0115
   25   16   3390.9939      0.0192
   25   17   3537.9194      0.0253
   25   18   3684.8472      0.0289
   25   19   3831.2988      0.0439
   25   20   3977.5503      0.0599
   25   21   4123.8638      0.0921
   25   22   4269.3833      0.1617
   25   23   4415.4053      0.1988
   25   24   4561.0156      0.3228
   25   25   4706.1963      0.4656
   25   26   4852.6562      0.9332
   26    3   1307.4862      0.0040
   26    4   1508.7072      0.0012
   26    5   1694.0551      0.0021
   26    6   1869.0417      0.0040
   26    7   2039.7561      0.0093
   26    8   2206.0391      0.0099
   26    9   2366.0454      0.0098
   26   10   2521.2124      0.0101
   26   11   2674.3276      0.0077
   26   12   2826.5454      0.0097
   26   13   2977.3457      0.0083
   26   14   3126.8362      0.0111
   26   15   3275.3503      0.0152
   26   16   3423.2390      0.0189
   26   17   3570.8909      0.0287
   26   18   3718.2666      0.0357
   26   19   3865.3872      0.0458
   26   20   4012.1477      0.0620
   26   21   4158.8833      0.1042
   26   22   4305.0991      0.1495
   26   23   4451.8511      0.2131
   26   24   4597.6758      0.3696
   26   25   4743.0791      0.9317
   26   26   4890.6284      0.8708
   27    3   1325.2379      0.0047
   27    4   1527.5590      0.0014
   27    5   1713.5703      0.0032
   27    6   1889.7836      0.0043
   27    7   2062.0913      0.0052
   27    8   2229.7285      0.0075
   27    9   2390.9863      0.0093
   27   10   2547.5479      0.0077
   27   11   2702.0183      0.0071
   27   12   2855.3074      0.0073
   27   13   3006.9841      0.0077
   27   14   3157.1650      0.0075
   27   15   3306.4421      0.0120
   27   16   3455.1033      0.0182
   27   17   3603.4370      0.0296
   27   18   3751.4346      0.0377
   27   19   3899.0266      0.0537
   27   20   4046.5586      0.0891
   27   21   4193.5840      0.1118
   27   22   4340.3936      0.1859
   27   23   4486.8384      0.2519
   27   24   4633.9536      0.4676
   27   25   4780.1777      1.0711
   27   26   4928.2773      0.8818
   28    3   1342.6560      0.0026
   28    4   1546.0214      0.0021
   28    5   1732.7408      0.0033
   28    6   1910.1726      0.0070
   28    7   2083.9417      0.0052
   28    8   2252.8279      0.0099
   28    9   2415.3640      0.0111
   28   10   2573.3821      0.0082
   28   11   2729.2632      0.0102
   28   12   2883.6252      0.0109
   28   13   3036.1580      0.0083
   28   14   3187.0886      0.0124
   28   15   3337.1587      0.0149
   28   16   3486.6465      0.0230
   28   17   3635.7141      0.0293
   28   18   3784.2881      0.0332
   28   19   3932.5020      0.0559
   28   20   4080.3557      0.0824
   28   21   4227.9600      0.1152
   28   22   4375.4536      0.2167
   28   23   4522.2021      0.2385
   28   24   4669.3296      0.4948
   28   25   4816.7373      0.7652
   29    2   1135.1578      0.0085
   29    3   1359.7642      0.0019
   29    4   1564.1425      0.0011
   29    5   1751.5612      0.0032
   29    6   1930.2220      0.0037
   29    7   2105.3611      0.0060
   29    8   2275.3625      0.0081
   29    9   2439.0552      0.0070
   29   10   2598.6204      0.0092
   29   11   2756.1152      0.0057
   29   12   2911.5645      0.0100
   29   13   3064.9082      0.0085
   29   14   3216.6631      0.0110
   29   15   3367.5818      0.0215
   29   16   3517.7930      0.0222
   29   17   3667.5466      0.0309
   29   18   3816.7273      0.0467
   29   19   3965.5559      0.0664
   29   20   4114.0776      0.0930
   29   21   4262.1001      0.1319
   29   22   4409.5498      0.2090
   29   23   4558.2944      0.2719
   29   24   4705.2495      0.7863
   29   25   4851.4600      1.0285
   30    3   1376.6099      0.0022
   30    4   1581.8750      0.0022
   30    5   1770.0780      0.0034
   30    6   1950.0013      0.0045
   30    7   2126.3894      0.0079
   30    8   2297.3486      0.0083
   30    9   2462.2705      0.0086
   30   10   2623.4858      0.0102
   30   11   2782.4373      0.0074
   30   12   2939.0789      0.0081
   30   13   3093.2837      0.0089
   30   14   3245.9204      0.0115
   30   15   3397.6150      0.0182
   30   16   3548.6255      0.0227
   30   17   3699.1455      0.0309
   30   18   3848.8098      0.0429
   30   19   3998.3970      0.0596
   30   20   4147.4712      0.0912
   30   21   4296.2046      0.1537
   30   22   4444.3027      0.2336
   30   23   4591.6455      0.3840
   30   24   4740.9634      0.7180
   31    2   1164.9751      0.0090
   31    3   1393.1591      0.0032
   31    4   1599.3525      0.0013
   31    5   1788.2815      0.0034
   31    6   1969.4402      0.0053
   31    7   2147.0869      0.0089
   31    8   2318.9287      0.0061
   31    9   2484.9861      0.0127
   31   10   2647.7776      0.0074
   31   11   2808.3013      0.0095
   31   12   2966.0693      0.0089
   31   13   3121.1904      0.0098
   31   14   3274.7170      0.0110
   31   15   3427.2271      0.0199
   31   16   3579.1418      0.0266
   31   17   3730.2444      0.0341
   31   18   3880.7971      0.0483
   31   19   4030.6628      0.0677
   31   20   4180.6890      0.1209
   31   21   4329.4180      0.1748
   31   22   4478.5063      0.2540
   31   23   4626.8560      0.4115
   32    3   1409.4154      0.0011
   32    4   1616.4352      0.0016
   32    5   1806.1895      0.0036
   32    6   1988.7187      0.0091
   32    7   2167.3987      0.0115
   32    8   2340.0681      0.0101
   32    9   2507.2808      0.0092
   32   10   2671.5891      0.0086
   32   11   2833.7126      0.0089
   32   12   2992.6340      0.0087
   32   13   3148.7957      0.0095
   32   14   3303.2673      0.0156
   32   15   3456.5830      0.0175
   32   16   3609.2532      0.0323
   32   17   3761.1042      0.0405
   32   18   3912.2368      0.0520
   32   19   4062.8872      0.0736
   32   20   4213.2524      0.1196
   32   21   4362.8071      0.2267
   32   22   4512.0937      0.3561
   32   23   4661.6406      0.5413
   33    2   1193.8812      0.0058
   33    3   1425.4106      0.0024
   33    4   1633.2395      0.0018
   33    5   1823.8673      0.0032
   33    6   2007.6888      0.0055
   33    7   2187.3701      0.0080
   33    8   2360.8293      0.0079
   33    9   2529.1335      0.0097
   33   10   2694.9951      0.0109
